Time,Channel A,Channel B
(us),(V),(V)

507.53449386,3.28257100,0.00335704
507.85449386,3.28257100,0.00335704
508.17449386,3.28257100,0.00335704
508.49449386,3.28257100,0.00335704
508.81449386,3.28257100,0.00335704
509.13449385,3.28257100,0.00335704
509.45449385,3.28257100,0.00335704
509.77449385,3.32712800,0.00335704
510.09449385,3.28257100,0.00335704
510.41449385,3.28257100,0.00335704
510.73449384,3.28257100,0.00335704
511.05449384,3.28257100,0.00335704
511.37449384,0.12604140,0.00335704
511.69449384,0.12604140,0.00335704
512.01449384,0.12604140,0.00335704
512.33449383,0.08163702,0.00335704
512.65449383,0.08163702,0.00335704
512.97449383,0.12604140,0.00335704
513.29449383,0.12604140,0.00335704
513.61449383,0.12604140,0.00335704
513.93449382,0.12604140,0.00335704
514.25449382,0.08163702,0.00335704
514.57449382,0.08163702,0.00335704
514.89449382,0.12604140,0.00335704
515.21449382,0.12604140,0.00335704
515.53449381,0.08163702,0.00335704
515.85449381,0.12604140,0.00335704
516.17449381,0.08163702,0.00335704
516.49449381,3.28257100,0.00335704
516.81449381,3.28257100,0.00335704
517.13449380,3.28257100,0.00335704
517.45449380,3.28257100,0.00335704
517.77449380,3.28257100,0.00335704
518.09449380,3.28257100,0.00335704
518.41449380,3.28257100,0.00335704
518.73449380,3.28257100,0.00335704
519.05449379,3.28257100,0.00335704
519.37449379,3.28257100,0.00335704
519.69449379,3.28257100,0.00335704
520.01449379,3.28257100,0.00335704
520.33449379,3.28257100,0.00335704
520.65449378,3.28257100,0.00335704
520.97449378,3.28257100,0.00335704
521.29449378,3.28257100,0.00335704
521.61449378,0.08163702,0.00335704
521.93449378,0.12604140,0.00335704
522.25449377,0.12604140,0.00335704
522.57449377,0.12604140,0.00335704
522.89449377,0.12604140,0.00335704
523.21449377,0.12604140,0.00335704
523.53449377,0.08163702,0.00335704
523.85449376,0.08163702,0.00335704
524.17449376,0.08163702,0.00335704
524.49449376,0.08163702,0.00335704
524.81449376,0.12604140,0.00335704
525.13449376,0.12604140,0.00335704
525.45449375,0.08163702,0.00335704
525.77449375,0.08163702,0.00335704
